                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.97077,                0.91037,                 1.0712,                0.76216,                0.48605,                0.51731,                0.36123,                 1.6046,                  1.957,                 1.3178,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.0091,                0.90041,                 1.1009,                0.78139,                0.47688,                0.45969,                0.30233,                  1.686,                 2.0788,                  1.452,             0.00089134,             0.00089134,             0.00089134
                     50,                0.97767,                0.89143,                 1.0893,                0.85336,                0.47442,                0.51264,                0.34738,                 1.5775,                 1.8786,                 1.3812,             0.00087484,             0.00087484,             0.00087484
                     51,                0.93153,                0.87695,                 1.0743,                0.72903,                0.52473,                0.51114,                0.32602,                 1.5959,                 1.9759,                 1.3966,             0.00085834,             0.00085834,             0.00085834
                     52,                0.92792,                0.80902,                 1.0599,                0.68403,                 0.5335,                0.50918,                0.34714,                 1.6026,                 2.0041,                 1.3507,             0.00084184,             0.00084184,             0.00084184
                     53,                0.92565,                0.78272,                 1.0666,                 0.8136,                0.52442,                0.51519,                0.37053,                 1.6337,                 1.9906,                 1.3679,             0.00082533,             0.00082533,             0.00082533
                     54,                0.94004,                0.84592,                 1.0705,                0.86833,                0.43594,                0.57539,                0.42544,                 1.5175,                  1.941,                 1.2743,             0.00080883,             0.00080883,             0.00080883
                     55,                0.90481,                0.81129,                 1.0375,                0.71276,                0.51279,                0.57565,                0.40727,                 1.4912,                 1.6371,                 1.2659,             0.00079233,             0.00079233,             0.00079233
                     56,                0.95421,                 0.8507,                  1.074,                0.79951,                0.59677,                0.65387,                0.45052,                 1.4814,                 1.3575,                 1.3009,             0.00077582,             0.00077582,             0.00077582
                     57,                0.91732,                0.82735,                 1.0772,                 0.8785,                0.64782,                0.65381,                0.48442,                 1.5168,                  1.455,                  1.253,             0.00075932,             0.00075932,             0.00075932
                     58,                0.87015,                0.82952,                 1.0475,                0.75541,                0.66649,                0.66617,                0.46134,                 1.4031,                 1.4078,                 1.1783,             0.00074282,             0.00074282,             0.00074282
                     59,                0.89631,                0.75755,                 1.0289,                0.84607,                0.52364,                0.59769,                0.45525,                 1.3342,                  1.523,                 1.1472,             0.00072631,             0.00072631,             0.00072631
                     60,                0.84805,                0.75131,                 1.0369,                0.78088,                 0.5146,                0.60548,                0.46384,                 1.3345,                 1.6898,                 1.1591,             0.00070981,             0.00070981,             0.00070981
                     61,                0.82425,                 0.7299,                 1.0179,                0.76392,                0.60224,                0.62804,                0.47445,                 1.3549,                 1.7048,                 1.1792,             0.00069331,             0.00069331,             0.00069331
                     62,                0.87812,                0.73282,                  1.002,                0.89161,                0.58953,                0.66233,                0.49619,                 1.3578,                 1.5366,                 1.1872,              0.0006768,              0.0006768,              0.0006768
                     63,                0.91549,                0.74858,                 1.0378,                0.82803,                0.63579,                0.64883,                0.48581,                 1.3508,                 1.4717,                 1.1783,              0.0006603,              0.0006603,              0.0006603
                     64,                0.81456,                0.67366,                0.98258,                0.78761,                0.56279,                0.60737,                0.44671,                 1.4233,                 1.7484,                 1.2097,              0.0006438,              0.0006438,              0.0006438
                     65,                0.85815,                0.71902,                  1.019,                 0.8333,                 0.5398,                 0.6167,                 0.4584,                 1.4658,                  1.759,                 1.2182,             0.00062729,             0.00062729,             0.00062729
                     66,                0.80357,                0.71704,                0.99742,                0.72947,                0.52442,                0.58387,                0.41237,                 1.4771,                 1.6769,                 1.2396,             0.00061079,             0.00061079,             0.00061079
                     67,                0.84375,                0.73949,                 1.0489,                 0.8731,                0.43176,                0.55831,                0.39774,                 1.4393,                 1.7318,                 1.2106,             0.00059429,             0.00059429,             0.00059429
                     68,                 0.8172,                0.74697,                 1.0393,                0.72811,                 0.4457,                0.54053,                0.37848,                 1.4843,                 1.8956,                 1.2467,             0.00057778,             0.00057778,             0.00057778
                     69,                0.87923,                0.78091,                  1.048,                  0.642,                0.56554,                0.57115,                0.39342,                 1.4582,                   1.79,                   1.24,             0.00056128,             0.00056128,             0.00056128
                     70,                0.77195,                 0.6795,                0.99925,                0.73736,                0.52442,                0.58955,                0.43936,                 1.3867,                 1.6779,                 1.1842,             0.00054478,             0.00054478,             0.00054478
                     71,                0.79388,                0.69322,                 1.0157,                 0.7321,                0.58605,                0.62016,                0.45317,                 1.4634,                 1.6905,                 1.2284,             0.00052827,             0.00052827,             0.00052827
                     72,                0.84402,                0.72433,                 1.0053,                0.82497,                0.58605,                0.62824,                0.47958,                 1.5104,                 1.6575,                 1.2535,             0.00051177,             0.00051177,             0.00051177
                     73,                0.81384,                0.67054,                 1.0269,                0.93383,                0.58605,                0.64163,                0.46419,                 1.4568,                 1.6399,                 1.2561,             0.00049527,             0.00049527,             0.00049527
                     74,                0.76247,                0.68219,                0.97797,                0.91019,                 0.5845,                0.63551,                0.45605,                 1.4648,                 1.6522,                   1.27,             0.00047876,             0.00047876,             0.00047876
                     75,                0.75514,                0.62703,                0.98323,                 0.8195,                0.60412,                0.63661,                0.45213,                 1.4719,                 1.6504,                 1.2789,             0.00046226,             0.00046226,             0.00046226
